,biomass_dilution_s
BSU00090_s,0.060488128662109376
BSU00110_s,0.060488128662109376
BSU00120_s,0.060488128662109376
BSU00130_s,0.0
BSU00140_s,0.060488128662109376
BSU00150_s,0.060474395751953125
BSU00180_s,0.060488128662109376
BSU00270_s,0.060488128662109376
BSU00280_s,0.0
BSU00380_s,0.0
BSU00410_s,0.060488128662109376
BSU00460_s,0.0
BSU00500_s,0.06047210693359375
BSU00510_s,0.0602752685546875
BSU00550_s,0.0
BSU00680_s,0.060274505615234376
BSU00730_s,0.060488128662109376
BSU00740_s,0.060488128662109376
BSU00750_s,0.060488128662109376
BSU00760_s,0.060488128662109376
BSU00770_s,0.060488128662109376
BSU00780_s,0.060488128662109376
BSU00790_s,0.060488128662109376
BSU00810_s,0.060488128662109376
BSU00820_s,0.0
BSU00900_s,0.0
BSU00910_s,0.0
BSU00930_s,0.060488128662109376
BSU00940_s,0.0
BSU00980_s,0.060488128662109376
BSU00990_s,0.0
BSU01000_s,0.0
BSU01010_s,0.0
BSU01020_s,0.0
BSU01030_s,0.0
BSU01040_s,0.0
BSU01050_s,0.0
BSU01070_s,0.0
BSU01080_s,0.0
BSU01100_s,0.0
BSU01110_s,0.0
BSU01120_s,0.0
BSU01130_s,0.0
BSU01150_s,0.0
BSU01160_s,0.0
BSU01170_s,0.0
BSU01180_s,0.0
BSU01190_s,0.0
BSU01200_s,0.0
BSU01210_s,0.0
BSU01220_s,0.0
BSU01230_s,0.0
BSU01240_s,0.0
BSU01250_s,0.0
BSU01260_s,0.0
BSU01270_s,0.0
BSU01280_s,0.0
BSU01290_s,0.0
BSU01300_s,0.0
BSU01310_s,0.0
BSU01320_s,0.0
BSU01330_s,0.0
BSU01340_s,0.0
BSU01350_s,0.0
BSU01360_s,0.0
BSU01370_s,0.060386657714843736
BSU01380_s,0.0
BSU01390_s,0.0
BSU01400_s,0.0
BSU01410_s,0.0
BSU01420_s,0.0
BSU01430_s,0.0
BSU01440_s,0.0
BSU01490_s,0.0
BSU01500_s,0.0
BSU01530_s,0.060488128662109376
BSU01580_s,0.060488128662109376
BSU01610_s,0.060488128662109376
BSU01620_s,0.060488128662109376
BSU01630_s,0.060488128662109376
BSU01680_s,0.060488128662109376
BSU01730_s,0.060488128662109376
BSU01770_s,0.0604705810546875
BSU01780_s,0.060488128662109376
BSU02090_s,0.060488128662109376
BSU02130_s,0.060488128662109376
BSU02140_s,0.060488128662109376
BSU02230_s,0.060488128662109376
BSU02270_s,0.0
BSU02290_s,0.0
BSU02340_s,0.060488128662109376
BSU02350_s,0.060488128662109376
BSU02360_s,0.060488128662109376
BSU02390_s,0.060488128662109376
BSU02400_s,0.060488128662109376
BSU02420_s,0.060488128662109376
BSU02430_s,0.060488128662109376
BSU02460_s,0.060488128662109376
BSU02480_s,0.060488128662109376
BSU02490_s,0.060488128662109376
BSU02510_s,0.060488128662109376
BSU02630_s,0.060488128662109376
BSU02640_s,0.060488128662109376
BSU02750_s,0.060488128662109376
BSU02760_s,0.060488128662109376
BSU02850_s,0.060488128662109376
BSU02860_s,0.060488128662109376
BSU02870_s,0.060488128662109376
BSU02980_s,0.060488128662109376
BSU02990_s,0.060488128662109376
BSU03000_s,0.060488128662109376
BSU03010_s,0.060488128662109376
BSU03040_s,0.060488128662109376
BSU03050_s,0.060291290283203125
BSU03060_s,0.060291290283203125
BSU03070_s,0.060488128662109376
BSU03130_s,5.7220458984375e-05
BSU03150_s,0.060488128662109376
BSU03200_s,0.060488128662109376
BSU03220_s,0.060488128662109376
BSU03270_s,0.060488128662109376
BSU03280_s,0.060488128662109376
BSU03290_s,0.060488128662109376
BSU03300_s,0.060488128662109376
BSU03310_s,0.060488128662109376
BSU03320_s,0.060488128662109376
BSU03330_s,0.060488128662109376
BSU03790_s,0.060488128662109376
BSU03800_s,0.060488128662109376
BSU03810_s,0.060488128662109376
BSU03820_s,0.060488128662109376
BSU03830_s,0.060488128662109376
BSU03860_s,0.060488128662109376
BSU03900_s,0.060488128662109376
BSU03910_s,0.060488128662109376
BSU03930_s,0.060488128662109376
BSU03950_s,0.060488128662109376
BSU03981_s,0.060488128662109376
BSU03990_s,0.060488128662109376
BSU04000_s,0.060488128662109376
BSU04030_s,0.060488128662109376
BSU04340_s,0.060488128662109376
BSU04360_s,0.060488128662109376
BSU04470_s,0.060488128662109376
BSU04520_s,0.060488128662109376
BSU04560_s,0.0
BSU04570_s,0.0
BSU04620_s,0.060488128662109376
BSU04640_s,0.060479736328125
BSU04730_s,0.0
BSU04740_s,0.06048736572265625
BSU05340_s,0.060488128662109376
BSU05740_s,0.060488128662109376
BSU05810_s,0.060488128662109376
BSU05820_s,0.060488128662109376
BSU05830_s,0.060488128662109376
BSU05860_s,0.060488128662109376
BSU05900_s,0.060488128662109376
BSU05980_s,0.060488128662109376
BSU05990_s,0.060488128662109376
BSU06020_s,0.0
BSU06030_s,0.0
BSU06150_s,0.060488128662109376
BSU06160_s,0.060488128662109376
BSU06170_s,0.060488128662109376
BSU06230_s,0.060488128662109376
BSU06240_s,0.06048660278320313
BSU06310_s,0.060488128662109376
BSU06360_s,0.060488128662109376
BSU06370_s,0.060488128662109376
BSU06420_s,0.060488128662109376
BSU06430_s,0.060488128662109376
BSU06440_s,0.060488128662109376
BSU06450_s,0.060488128662109376
BSU06470_s,0.060488128662109376
BSU06480_s,0.060488128662109376
BSU06490_s,0.060488128662109376
BSU06500_s,0.060488128662109376
BSU06510_s,0.060488128662109376
BSU06520_s,0.060488128662109376
BSU06530_s,0.060488128662109376
BSU06660_s,0.060488128662109376
BSU06670_s,0.0
BSU06680_s,0.0
BSU06690_s,0.0
BSU06730_s,0.0
BSU06970_s,0.060488128662109376
BSU06980_s,0.060488128662109376
BSU06990_s,0.060488128662109376
BSU07490_s,0.060488128662109376
BSU07500_s,0.060488128662109376
BSU07510_s,0.060488128662109376
BSU07520_s,0.060488128662109376
BSU07570_s,0.06031951904296875
BSU07610_s,0.060488128662109376
BSU07700_s,0.060488128662109376
BSU07800_s,0.060488128662109376
BSU07810_s,0.060488128662109376
BSU07830_s,0.060488128662109376
BSU07840_s,0.060488128662109376
BSU07920_s,0.060488128662109376
BSU07990_s,0.060488128662109376
BSU08000_s,0.060488128662109376
BSU08030_s,0.060488128662109376
BSU08060_s,0.060488128662109376
BSU08070_s,0.060488128662109376
BSU08180_s,0.060488128662109376
BSU08200_s,0.060488128662109376
BSU08440_s,0.060488128662109376
BSU08450_s,0.060488128662109376
BSU08460_s,0.060488128662109376
BSU08650_s,0.060488128662109376
BSU08710_s,0.060488128662109376
BSU08790_s,0.060488128662109376
BSU08820_s,0.060488128662109376
BSU08830_s,0.060488128662109376
BSU08840_s,0.060488128662109376
BSU08850_s,0.060488128662109376
BSU08860_s,0.060488128662109376
BSU09130_s,0.060488128662109376
BSU09240_s,0.060488128662109376
BSU09280_s,0.060488128662109376
BSU09290_s,0.060488128662109376
BSU09300_s,0.060488128662109376
BSU09310_s,0.060488128662109376
BSU09410_s,0.060428619384765625
BSU09440_s,0.060488128662109376
BSU09520_s,0.060488128662109376
BSU09530_s,0.060488128662109376
BSU09540_s,0.0
BSU09680_s,0.060488128662109376
BSU09840_s,0.060488128662109376
BSU09850_s,0.060488128662109376
BSU10010_s,0.06048736572265625
BSU10020_s,0.06048660278320313
BSU10120_s,0.060488128662109376
BSU10130_s,0.060488128662109376
BSU10140_s,0.060488128662109376
BSU10170_s,0.060488128662109376
BSU10220_s,0.06048736572265625
BSU10270_s,0.060488128662109376
BSU10360_s,0.060488128662109376
BSU10520_s,0.060488128662109376
BSU10790_s,0.060488128662109376
BSU10870_s,0.06048583984375
BSU11010_s,0.06047897338867188
BSU11190_s,0.060488128662109376
BSU11200_s,0.060488128662109376
BSU11210_s,0.060488128662109376
BSU11220_s,0.060488128662109376
BSU11230_s,0.060488128662109376
BSU11240_s,0.060488128662109376
BSU11250_s,0.060488128662109376
BSU11330_s,0.060488128662109376
BSU11340_s,0.0
BSU11420_s,0.0
BSU11610_s,0.060488128662109376
BSU11640_s,0.060488128662109376
BSU11650_s,0.060488128662109376
BSU11670_s,0.060488128662109376
BSU11710_s,0.060488128662109376
BSU11720_s,0.060488128662109376
BSU11870_s,0.06047744750976562
BSU11880_s,0.060488128662109376
BSU12010_s,0.060488128662109376
BSU12020_s,0.060488128662109376
BSU12080_s,0.060488128662109376
BSU12160_s,0.060488128662109376
BSU12290_s,0.060488128662109376
BSU12300_s,0.060488128662109376
BSU12330_s,0.060488128662109376
BSU12340_s,0.060488128662109376
BSU12360_s,0.060488128662109376
BSU12380_s,0.060488128662109376
BSU12390_s,0.060488128662109376
BSU12840_s,0.060488128662109376
BSU12910_s,0.060488128662109376
BSU12920_s,0.060488128662109376
BSU12930_s,0.060488128662109376
BSU12940_s,0.060488128662109376
BSU12950_s,0.060488128662109376
BSU12960_s,0.060488128662109376
BSU13010_s,0.060488128662109376
BSU13110_s,0.060488128662109376
BSU13120_s,0.060488128662109376
BSU13130_s,0.060488128662109376
BSU13170_s,0.060488128662109376
BSU13180_s,0.06047897338867188
BSU13300_s,0.060488128662109376
BSU13450_s,0.060488128662109376
BSU13550_s,0.060488128662109376
BSU13560_s,0.060488128662109376
BSU13580_s,0.060488128662109376
BSU13590_s,0.060488128662109376
BSU13600_s,0.060488128662109376
BSU13610_s,0.060488128662109376
BSU13620_s,0.060488128662109376
BSU13730_s,0.060488128662109376
BSU13850_s,0.060488128662109376
BSU13890_s,0.060488128662109376
BSU13900_s,0.060488128662109376
BSU13910_s,0.060488128662109376
BSU13960_s,0.060488128662109376
BSU14000_s,0.0
BSU14180_s,0.0
BSU14190_s,0.0
BSU14390_s,0.060488128662109376
BSU14400_s,0.060488128662109376
BSU14520_s,0.060488128662109376
BSU14530_s,0.0
BSU14540_s,0.0
BSU14580_s,0.060488128662109376
BSU14590_s,0.060488128662109376
BSU14600_s,0.060488128662109376
BSU14610_s,0.06031951904296875
BSU14630_s,0.060488128662109376
BSU14670_s,0.060488128662109376
BSU14730_s,0.060488128662109376
BSU14830_s,0.060488128662109376
BSU14860_s,0.060488128662109376
BSU14870_s,0.060488128662109376
BSU14880_s,0.060488128662109376
BSU14890_s,0.060488128662109376
BSU14900_s,0.060488128662109376
BSU14910_s,0.060488128662109376
BSU14920_s,0.060488128662109376
BSU15020_s,0.060488128662109376
BSU15080_s,0.0
BSU15110_s,0.060488128662109376
BSU15140_s,0.0
BSU15180_s,0.0
BSU15190_s,0.0
BSU15200_s,0.0
BSU15220_s,0.0
BSU15230_s,0.0
BSU15320_s,0.0
BSU15350_s,0.060488128662109376
BSU15430_s,0.0
BSU15480_s,0.060488128662109376
BSU15490_s,0.060488128662109376
BSU15500_s,0.060488128662109376
BSU15510_s,0.060488128662109376
BSU15520_s,0.060488128662109376
BSU15530_s,0.060488128662109376
BSU15540_s,0.060488128662109376
BSU15550_s,0.060488128662109376
BSU15560_s,0.060488128662109376
BSU15570_s,0.06047744750976562
BSU15580_s,0.060488128662109376
BSU15590_s,0.06047744750976562
BSU15600_s,0.060488128662109376
BSU15610_s,0.060488128662109376
BSU15620_s,0.060488128662109376
BSU15630_s,0.060488128662109376
BSU15650_s,0.060488128662109376
BSU15680_s,0.0
BSU15690_s,0.0
BSU15700_s,0.060488128662109376
BSU15720_s,0.0
BSU15730_s,0.0
BSU15750_s,0.0
BSU15790_s,0.060488128662109376
BSU15820_s,0.0
BSU15850_s,0.060488128662109376
BSU15860_s,0.060488128662109376
BSU15900_s,0.0
BSU15910_s,0.0
BSU15920_s,0.060488128662109376
BSU15930_s,0.060488128662109376
BSU15980_s,0.0
BSU15990_s,0.0
BSU16020_s,0.0
BSU16040_s,0.0
BSU16090_s,0.05799713134765625
BSU16100_s,0.05799713134765625
BSU16470_s,0.060488128662109376
BSU16490_s,0.0
BSU16500_s,0.0
BSU16510_s,0.060488128662109376
BSU16520_s,0.0
BSU16530_s,0.060488128662109376
BSU16540_s,0.0
BSU16550_s,0.0
BSU16570_s,0.0
BSU16600_s,0.0
BSU16630_s,0.0
BSU16650_s,0.0
BSU16670_s,0.0
BSU16680_s,0.0
BSU16690_s,0.0
BSU16730_s,0.060488128662109376
BSU16740_s,0.060488128662109376
BSU16750_s,0.0
BSU16760_s,0.060488128662109376
BSU16770_s,0.0
BSU16780_s,0.0
BSU16920_s,0.0
BSU16960_s,0.0
BSU16990_s,0.060488128662109376
BSU17000_s,0.060488128662109376
BSU17150_s,0.060488128662109376
BSU17380_s,0.060474395751953125
BSU17390_s,0.060474395751953125
BSU17410_s,0.060488128662109376
BSU17460_s,0.06047744750976562
BSU17600_s,0.060488128662109376
BSU17610_s,0.060488128662109376
BSU17660_s,0.060488128662109376
BSU17680_s,0.060488128662109376
BSU17710_s,0.060488128662109376
BSU17890_s,0.060488128662109376
BSU18000_s,0.06048507690429687
BSU18120_s,0.060488128662109376
BSU18210_s,0.060488128662109376
BSU18220_s,0.060488128662109376
BSU18230_s,0.060488128662109376
BSU18250_s,0.060488128662109376
BSU18260_s,0.060488128662109376
BSU18410_s,0.060488128662109376
BSU18440_s,0.060488128662109376
BSU18450_s,0.060488128662109376
BSU18470_s,0.060488128662109376
BSU18480_s,0.060488128662109376
BSU18540_s,0.060488128662109376
BSU18570_s,0.060488128662109376
BSU18670_s,0.060488128662109376
BSU18800_s,0.060488128662109376
BSU18830_s,0.060488128662109376
BSU19230_s,0.060488128662109376
BSU19310_s,0.060488128662109376
BSU19350_s,0.060488128662109376
BSU19360_s,0.06031951904296875
BSU19370_s,0.06031951904296875
BSU19520_s,0.060488128662109376
BSU19580_s,0.060488128662109376
BSU19630_s,0.060479736328125
BSU19690_s,0.060488128662109376
BSU19710_s,0.060488128662109376
BSU19800_s,0.060488128662109376
BSU20020_s,0.060488128662109376
BSU20250_s,0.060488128662109376
BSU21680_s,0.060488128662109376
BSU21690_s,0.060488128662109376
BSU21770_s,0.06047897338867188
BSU21810_s,0.0
BSU21820_s,0.060488128662109376
BSU21870_s,0.0604736328125
BSU21900_s,0.060488128662109376
BSU21910_s,0.06047744750976562
BSU21920_s,0.0
BSU22060_s,0.060488128662109376
BSU22070_s,0.060488128662109376
BSU22090_s,0.060488128662109376
BSU22100_s,0.060488128662109376
BSU22110_s,0.060488128662109376
BSU22130_s,0.060488128662109376
BSU22140_s,0.060488128662109376
BSU22360_s,0.0
BSU22370_s,0.060488128662109376
BSU22410_s,0.060488128662109376
BSU22420_s,0.060488128662109376
BSU22430_s,0.060488128662109376
BSU22440_s,0.0
BSU22480_s,0.060488128662109376
BSU22490_s,0.0
BSU22540_s,0.060488128662109376
BSU22550_s,0.060488128662109376
BSU22560_s,0.060488128662109376
BSU22600_s,0.060488128662109376
BSU22610_s,0.060488128662109376
BSU22620_s,0.060488128662109376
BSU22630_s,0.060488128662109376
BSU22640_s,0.060488128662109376
BSU22650_s,0.060488128662109376
BSU22660_s,0.060488128662109376
BSU22670_s,0.060488128662109376
BSU22680_s,0.060488128662109376
BSU22690_s,0.060488128662109376
BSU22700_s,0.060488128662109376
BSU22710_s,0.060488128662109376
BSU22730_s,0.0
BSU22740_s,0.0
BSU22750_s,0.0
BSU22760_s,0.0
BSU22780_s,0.060488128662109376
BSU22830_s,0.060464477539062485
BSU22870_s,0.060488128662109376
BSU22880_s,0.0
BSU22890_s,0.0603546142578125
BSU22960_s,0.060488128662109376
